Article Title,Category,references,query_1,query_2
卞亦文,1972年出生,卞亦文（1972年—），收藏家，祖籍江苏扬州，北京中汉拍卖有限公司董事长。 于2006年成功收藏一部古抄本《红楼梦》。 2006年6月，卞亦文以18万元在上海敬华拍卖公司拍得一部《红楼梦》残抄本。 抄本仅存前10回及58个回目，序言落款书名眉盦，“文介私印”，题记右下角盖“上元刘氏图书之印”章。 ### 经研究确认此人为《上元刘氏家谱》中的刘文介。 卞藏本在与其它抄本作对比时，发现了大量异文，可见其应是一部早期抄本的残本，可能早于甲戌本。,卞亦文在2006年6月于上海敬华拍卖公司拍得的《红楼梦》残抄本有哪些独特标识，哪些信息可以确认其为《上元刘氏家谱》中的刘文介所拥有？,
锦屏二级水电站,Webarchive模板wayback链接,锦屏二级电站位于中國四川省凉山彝族自治州木里、盐源、冕宁三县交界处的雅砻江干流锦屏大河湾上，系雅砻江卡拉至江口河段规划的5个梯级电站之一，坝址位于锦屏一级电站下游7.5km，利用雅砻江150km锦屏大河湾的天然落差，截弯取直开挖隧洞引水发电，厂房位于大河湾东端的大水沟。 共安装8台60万千瓦的水轮发电机组，总装机480万千瓦，多年平均年发电量242.32亿千瓦时。 水库正常蓄水位1646米，总库容1920万立方米，调节库容为502万m3。 锦屏二级电站4条引水隧洞平均长约16.6km，开挖洞径12m，为世界第一水工隧洞。 ### 工程建设总工期8年3个月，静态投资186.5亿元，总投资222.5亿元。 2007年1月30日，锦屏二级水电站正式开工。 计划于2012年首台机组发电，2014年竣工。,锦屏二级电站的总装机容量和其多年平均年发电量各是多少？  ,
緹妲叻·布勒彤,1996年出生,緹妲叻·布勒彤（泰語：ธิดารัตน์ ปรือทอง，羅馬化：Thidarut Pruethong，1996年6月23日—），小名Enjoy（泰語：เอ็นจอย），為泰國第3電視台旗下藝人。 著名作品為2019年的《愛在虹際》。 Enjoy於1996年6月23日出生於泰國曼谷。 畢業於Nawamintrachinuthit Satriwittaya 2 School（泰语：โรงเรียนนวมินทราชินูทิศ สตรีวิทยา พุทธมณฑล）高中，之後於曼谷大學的傳播藝術學院取得學士學位畢業。 ### Enjoy因為甜美的外型，讓她在網路上爆紅，也成為了她進入演藝圈的契機。 此後開始主持節目，也參與MV與電視劇的拍攝。,緹妲叻·布勒彤是在哪所高中畢業的？她在大學時期學習的專業是什麼？,Enjoy是如何進入演藝圈的？她出名的主要原因是什麼？
朱洁静,1985年出生,朱洁静（1985年10月3日—），浙江嘉兴人，中国舞蹈家，上海歌舞团副團長暨栄典首席演员，一级演员，全国五一劳动奖章获得者，上海舞蹈家協會副主席，中國舞蹈家協會理事。 代表作品有《根之雕》、《霸王别姬》、《天边的红云》、《朱鹮》、《永不消逝的电波》等。 1995至2001年 ，就讀於上海市舞蹈學校中國舞系。 2000年，獲得第6屆全國「桃李杯」舞蹈大賽中國舞少年乙組優秀表演獎。 ### 2001年至2006年，擔任上海東方青春舞蹈團舞蹈演員。 2002年，獲得第3屆中國舞蹈「荷花獎」比賽表演金獎、當代舞優秀表演獎。 2007年1月起，擔任上海歌舞團舞蹈演員、首席演員。 2020年，憑《永不消逝的電波》裡的蘭芬一角，獲得第30屆上海白玉蘭戲劇表演藝術獎配角獎。 ### 2022年，参加湖南卫视《乘風破浪的姐姐第三季》。 2024年，獲得第32届上海白玉兰戏剧表演艺术奖主角奖榜首。,朱洁静在获得第32届上海白玉兰戏剧表演艺术奖主角奖之前，还曾获得过哪些重要奖项？,
漂流瓶 (网站),中华人民共和国网站,漂流瓶是QQ邮箱提供的一种匿名倾诉工具。 該工具於2010年9月28日上線。 用戶使用此工具时不会泄露自己的QQ号码，用户可以通過漂流瓶进行匿名交流。 同时此功能可以给用户自动推送漂流瓶。 ### 2019年6月24日，QQ邮箱漂流瓶功能终止服务。 目前漂流瓶可以发送140个以内的文字，以及图片和表情。 漂流瓶有两种到达方式：第一种是用户通过“捞瓶子”功能主动搜寻漂流瓶。 每个用户每天默认情况下可以获得6个渔网（即6次捞瓶机会），并可用积分兑换捞瓶次数。 ### 第二种到达方式是漂流瓶被随机“冲”到用户的“海滩”上。 用户可以通过漂流瓶网站中的“扔一个”功能来发出漂流瓶。 用户收到漂流瓶后，可以在输入框中输入内容给出回复。 对于不想回复的瓶子，可以使用“扔回海里”功能退回，或者使用“厌恶”功能将其彻底删除。 ### 或者还可以使用“举报”功能来举报带有不良内容的漂流瓶。 30分以下是等级1，30分及以上是等级2。 等级2及以上的用户可以使用“天气海滩”功能，可以根据在漂流瓶中所设置的归属地在自动显示与实时所在位置对应的天气的海滩。 微信也有漂流瓶功能，微信團隊發現有用戶通過漂流瓶發送色情信息以及嫖娼廣告。 ### 2019年5月，微信漂流瓶率先下線。 2019年6月24日，QQ邮箱漂流瓶功能终止服务。,漂流瓶功能终止服务的时间和原因分别是什么？请结合QQ邮箱和微信的情况进行说明。,漂流瓶的两种到达方式是什么？每种方式的具体操作流程是怎样的？
丙卡特罗,2-喹诺酮,丙卡特罗（INN：procaterol）是一种中效β2肾上腺素受体激动药，用于治疗哮喘。 它从未在美国申请美国食品药品监督管理局评估，也没有在美国上市。 该药物在水分和空气存在下很容易被氧化，使其不适合通过吸入进行治疗。 Parke-Davis/Warner-Lambert制药公司曾研究防止氧化的稳定剂，但从未开发出有效的稳定剂。 ### 它于1974年获得专利，并于1980年进入医疗用途。 与吡布特罗一样，丙卡特罗表现出与沙丁胺醇相似的支气管溶解特性，但作用时间更长。 推荐用作治疗哮喘的吸入药物。 8-羟基喹诺酮在喹啉系统的第五位被2-溴丁酰氯酰化，得到化合物3。 ### 该化合物与异丙胺作用，形成氨基酮，其羰基被硼氢化钠还原，便可制得丙卡特罗。,丙卡特罗在治疗哮喘时为什么不适合通过吸入进行治疗？结合所有参考内容，详细说明其原因及相关研究。,
/dev/null,Unix,/dev/null（或称空设备）在类Unix系统中是一个特殊的设备文件，它丢弃一切写入其中的数据（但报告写入操作成功），读取它则会立即得到一个EOF。 在程序员行话，尤其是Unix行话中，/dev/null被称为比特桶或者黑洞。 空设备通常被用于丢弃不需要的输出流，或作为用于输入流的空文件。 这些操作通常由重定向完成。 ### /dev/null是一个特殊文件，而不是目录，因此不能使用Unix命令mv将文件移动到其中。 使用rm命令才是Unix中删除文件的正确方法。 本概念大致相当于CP/M，DOS和Microsoft Windows中的NUL:或单纯的NUL设备，Windows NT及其后续系统中的\Device\Null或NUL，Amiga中的NIL:，以及OpenVMS中的NL:。 在基于.NET的Windows PowerShell中，相同的概念为$null。 ### 在Unix程序员使用的科技行话中和隐喻经常使用这一概念，例如“请将投诉发送到/dev/null”，“我的邮件被存档到了/dev/null”，以及“重定向到/dev/null”，分别表示：“不要拿投诉来烦我”，“我的邮件被删掉了”，和“一边去”。 iPhone Dev Team通常使用“可以向/dev/null捐款”，意为他们不接受捐款。 空设备也是科技幽默的常用主题之一，例如警告用户系统的/dev/null已经使用了98%。 1995年愚人节一家德国杂志c't写道，一种增强的/dev/null芯片可以藉由将数据转换成内部LED的闪光以有效的处理输入数据。 ### 苹果公司也曾在2003年利用这个概念做过一则广告，“将其它牌子的UNIX都送进/dev/null”，表明运行Mac OS X的PowerBook包含了全部UNIX特性。,解释/dev/null在类Unix系统中的用途和技术隐喻应用，并举例说明其在科技幽默中的常用场景。,比较不同操作系统中与/dev/null功能相似的设备文件或概念，并说明这些文件在各自系统中的使用方法。
西本愿寺 (上海),上海市第三批优秀历史建筑,西本愿寺是20世纪上半叶日本佛教净土宗本愿寺派在上海公共租界北区设立的一所寺庙，现在的地址为上海虹口区乍浦路455号。 1906年，西本愿寺继东本愿寺之后，也在上海设立别院，向中国人传教。 初期地址在文监师路114号（今塘沽路）。 1931年，西本愿寺迁址乍浦路、武进路，由冈野重久设计，建成一幢印度风格的白色花岗石寺院，特点是巨大的半圆形拱券及日式浮雕（莲花、禽鸟 ）。 ### 寺内曾存有大量日本人的骨灰罐，还曾建有9层高的佛塔 。 二战结束后，西本愿寺作为敌性寺庙予以取缔，寺房改作他用。 1948年，经上海市参议会决议，拟改为上海忠烈祠。 1999年被指定为上海市优秀历史建筑。 ### 曾用作虹口区健身房及梦幻柔情舞厅。,西本愿寺在上海的迁址过程以及建筑风格有何特点？,
波达陨石坑,LQ21方格,"波达陨石坑（Borda）是位于月球正面东南部的一座撞击坑，约形成于39.2-38.5亿年前的酒海纪，其名称取自十八世纪法国数学家、物理学家、大地测量学家、工程师、政治家暨海军军官讓-夏爾·德·博爾達（英语：Jean-Charles de Borda），1935年被国际天文学联合会批准接受。 该陨坑西北毗邻巨大的桑特贝奇环形山、北面靠近相对较小的蒙日陨石坑、雷亨巴赫环形山则坐落在它的东南偏南方。 该陨坑中心月面坐标为25°12′S 46°31′E﻿ / ﻿25.2°S 46.52°E﻿ / -25.2; 46.52，直径45.4公里，深度2.28公里。 波达陨石坑已严重损毁，东南壁横跨了一座小陨坑，西南侧切入了另一座小撞击坑。 ### 该陨坑坑壁高出周边地形约1080米，但南北二侧相对更低。 从东南壁向外延伸出一道被群峰环抱的又宽又深的月谷，而西北壁至卫星坑""波达 E""则分布有一条不规则的裂隙。 波达陨石坑的内部容积约有1600.94公里3，坑底中心附近坐落了一座高约1100米的中央峰。 按惯例，最靠近波达陨石坑的卫星坑将在月图上以字母标注在它的中心点旁边。",波达陨石坑的东南壁和西南侧分别有什么独特的地理特征？,
朱咏雷,1964年出生,朱咏雷（1964年7月—），上海人，男，汉族，中华人民共和国政治人物。 1985年7月参加工作，1991年6月加入中国共产党。 中欧国际工商学院高层管理人员工商管理专业管理学硕士，高级编辑。 现任国家广播电视总局副局长、中国电视艺术家协会第六届顾问。 ### 朱咏雷1985年于复旦大学新闻系毕业，毕业后进入上海电视台工作，任新闻记者。 1989年，兼任上海电视台团委书记、上海市广播电视局团委副书记。 1992年9月，朱咏雷参与筹建上海东方电视台，并任报道部副主任。 1995年4月，任上海东方电视台编委、总编室主任，1997年2月任上海东方电视台副台长。 ### 他在任职东视高管时，当时电视台举办晚会，发现进口电脑灯发生故障，需要更新程序，但当时国内没有维修点。 于是，境外厂家通过互联网发来一段电脑程序，使得电脑灯的故障及时解除。 这也是朱咏雷首次接触互联网。 1997年，朱咏雷调任上海市广播电影电视局局长助理。 ### 任职期间，他与同事们尝试建立官网，还在外滩黄浦江边的广电局大楼上设置了一个小摄像机，这是中国最早的网络电视实况广播摄像机之一。 1998年7月，朱咏雷调任上海电视台常务副台长，1999年6月升任台长。 2001年4月，任上海文化广播影视集团[a]副总裁、上海文广新闻传媒集团党委书记、总裁，上海东方明珠股份有限公司党委书记、董事长。 2002年9月，卸任上海电视台台长，改任中国2010年上海世博会事务协调局副局长，东方新闻网站党委书记等职（其间：2003年8月-2004年1月得克萨斯大学圣安东尼奥分校EMBA班学习，2004年3月-2006年4月中欧国际工商学院高层管理人员工商管理专业在职学习，获工商管理硕士学位）。 ### 2003年12月29日，当选为上海市青年联合会第九届委员会副主席。 任职上海世博局副局长期间，朱咏雷主持开发建设“网上世博会”，被时任国际展览局秘书长洛塞泰斯誉为“世博会史上革命性创举”，同时推出“网上世博护照”。 “网上世博会”开放首日，入园人次达到285万，比实体园区入园人次高出十几倍。 “网上世博会”也因此获得上海市科技进步一等奖，同时国际展览局也学习上海经验，决定今后举行的世博会都要建立“网上世博会”。,朱咏雷在担任上海市广播电影电视局局长助理期间，具体有哪些创新举措推动了网络电视的发展？,朱咏雷主导开发的“网上世博会”在国际展览局和上海市科技进步奖方面取得了哪些具体的成就和影响？
刺蝟上樹樂團,前衛搖滾樂團,刺蝟上樹樂團（Porcupine Tree）是一支由 Steven Wilson 成立，來自英國赫特福德郡赫默爾亨普斯特德，曾獲葛萊美獎提名的前衛搖滾樂團。 他們的音樂結合了搖滾、迷幻和重金屬。 在90年代，樂團曲風主要以迷幻搖滾為主，然而他們還融入了電子音樂，從Trance到德国酸菜摇滚及氛圍音樂，原因是Steven Wilson和Richard Barbieri對於70年代初期由橘夢樂園、Neu!（英语：Neu!）和罐头乐队等樂團為代表的Kosmische Musik的熱愛 ，近年曲風則較為接近金屬樂。 為了現場表演，樂團使用了銀幕去展示每首歌不同的影像。 ### 這項視覺元素第一次出現是在《In Absentia》巡迴演唱會上，此時樂團開始與丹麥攝影師和電影導演 Lasse Hoile 合作，他的工作是為樂團創作出一個獨特的形象。 儘管他們在歐洲和美國分別與 Roadrunner Records 和 Atlantic Records 簽約，樂團依然擁有專屬的唱片廠牌 Transmission，用來發行一些獨立作品和專輯的特別限定版。 樂團在 Burning Shed 有官方線上商店，現在官方網路批發則為 Peaceville Records 和 Kscope（同屬於 Snapper Music）。 1987年，由於 Steven Wilson 和 Malcolm Stocks 間的玩笑話，樂團開始運作。 ### 在受到了像是平克·佛洛伊德等70年代的迷幻樂團的啟發後，他們兩人決定組成虛構的著名搖滾樂團，名叫刺蝟上樹樂團。 他們杜撰了像是樂團成員、專輯名稱和背景故事等細節。 背景故事包括像是在70年代的搖滾音樂季上認識團員、多次進出監獄等事件。 當 Steven Wilson 有足夠的錢去買入錄音設備後，他創作了數小時的音樂，以作為樂團存在的「證據」。 ### 雖然刺蝟上樹樂團的開始只是個笑話，而且 Wilson 也正專注於他另一個計畫：No-Man（一個與 Tim Bowness 長期奮鬥的樂團，Wilson 在1989年開始思考一些具有市場潛力的音樂而成立）。 Wilson 以刺蝟上樹樂團的名義創作了一卷長達80分鐘的錄音帶，名為《Tarquin's Seaweed Farm》。 Wilson 加入了8頁的資訊包含虛構的團員像是 Sir Tarquin Underspoon 和 Timothy Tadpole-Jones，持續展現他玩笑話的精神。 Wilson 將《Tarquin's Seaweed Farm》送給幾位他認為可能會對這張專輯感興趣的人。 ### 英國地下音樂雜誌《Freakbeat》在收到錄音帶時正在籌組他們獨自的唱片公司。 雖然這張並未獲得樂評高度讚賞，但他們依然被邀請參與一張合輯，內容收錄逐漸嶄露頭角的地下迷幻樂團的歌曲。 這張合輯製作過程非常緩慢，到完成時共花費了18個月。 在這段期間，樂團持續的創作。,刺蝟上樹樂團在成立初期是如何將虛構的背景故事與實際音樂創作結合在一起的？請詳細描述他們的創作過程和背景故事的內容。,在《In Absentia》巡迴演唱會上，刺蝟上樹樂團是如何利用視覺元素來增強現場表演的效果的？請說明他
展翅高飞 (艾薇儿·拉维尼专辑),2002年音樂專輯,"《展翅高飞》（英語：Let Go）是加拿大唱作歌手艾薇儿·拉维尼的首张专辑，由爱丽斯塔唱片（英语：Arista Records）发行于2002年6月4日。 在与爱丽斯塔签订唱片合约后的一年里，由于对专辑的音乐方向摇摆不定，拉维尼在歌唱事业上面临困境。 为了在音乐事业上有所突破，她搬到了洛杉矶并录制了早期的专辑素材，但唱片公司对这些素材仍然不满意。 之后她与音乐制作团队The Matrix（英语：The Matrix (production team)）进行了合作，他们能理解她对专辑制作的看法。 ### 乐评家将《展翅高飞》称为一张具有后垃圾摇滚风格导向的另类摇滚专辑。 这张专辑被认为是2002年流行音乐中最佳的处女作，在美国获得了七白金的唱片认证。 尽管拉维尼的歌曲创作水平受到了一些批评，但该专辑的发行获得了普遍的积极评价。 专辑在加拿大取得了极好的成绩，获得了加拿大音乐协会的钻石认证，并在世界许多国家达到了多白金唱片，包括英国，在英国拉维尼创造了获得冠军专辑最年轻女歌手的记录。 ### 《展翅高飞》在全球范围内销量超过了1,600万张，是拉维尼迄今为止最畅销的专辑，也是21世纪加拿大歌手最畅销的专辑。 根据《公告牌》，这张专辑在2000年代最畅销的专辑中排名第21位。 在《滚石》的读者评选中，这张专辑被认为在2000年代最佳专辑中排名第四位。 这张专辑被认为是改变流行朋克音乐风格的专辑之一，它将流行朋克音乐推向主流，促进了以女性为首的流行朋克乐队和以女性为主导的朋克音乐的兴起。 ### 2013年3月18日，《展翅高飞》与拉维尼的第二张录音室专辑《酷到骨子里》搭为双碟（英语：Double_album）由RCA唱片重新发行。 在2002年12月至2003年6月期间，拉维尼进行了让我闭嘴巡回演唱会为专辑进一步宣传。 2000年11月艾薇儿和L.A. Reid的Arista Records签约，并开始了第一张专辑的制作。 一年都没有进展，使得艾薇儿处于被Arista遗弃的边缘。 ### Reid希望艾薇儿写写Folk曲风的歌曲，因为他们觉得艾薇儿很有新潮乡村范。 但是这对刚刚发现电吉他为基调的摇滚魅力的艾薇儿来说行不通了。 经纪人把别人写的歌给她，都被她拒绝，她坚持自己的创作。 在洛杉矶，她和作曲兼制作人Clif Magness，创作了Losing Grip和Unwanted，这让她对这张专辑有了比较全面的构想。",艾薇儿·拉维尼的首张专辑《展翅高飞》在制作过程中遇到了哪些困难，她是如何克服这些困难的？,《展翅高飞》如何影响了21世纪的流行朋克音乐，以及它在全球和各个国家的销售成绩如何？
人道远征,1938年5月,人道远征，又称纸片轰炸，是中国抗日战争期间由中华民国空军发起的一次针对日本本土的心理战行动。 行动由时任空军第2大队14中队队长徐煥昇主持，1938年5月19日开始实施，次日凌晨飞经日本熊本、福冈、长崎等地，抛洒上百万张反战传单。 此次行动是日本本土领空首次受到外国军机空袭，甚至早于美军实施的杜立特空袭。 经过媒体广泛报道，此次行动在中国国内引起了巨大反响:136-138，但对日本的影响则十分有限:265。 ### 在卢沟桥事变之前的1936年年底，受到外籍军事顾问的影响，国民政府军事委员会参谋本部在1937年度《国防作战计划》中即要求空军具备使用重型轰炸机对日本进行战略轰炸的能力，以期减少日本空军对中国海空军的威胁。 攻击目标包括日本佐世保、横须贺等军事基地，东京、大阪等大城市及台湾、满洲国和關東州日军基地。 为此，国民政府航空委员会将空军第八大队具备轰炸日本能力的意大利萨伏亚S.72和美国马丁139WC飞行员集中至南昌青云谱机场，此后在上海和杭州展开各项飞行训练。 但由于抗日战争爆发，为争夺战时制空权，支援地面部队，轰炸日本的计划没有实施。 ### 1937年10月，由苏联援助的6架TB-3轰炸机抵达中国，但其中两架在吉安机场被日军炸毁。 出于保存实力的原因，TB-3轰炸机向西飞至兰州，此后并未承担轰炸任务:132-133。 至1938年，国民政府再次提及轰炸日本的计划。 此时，萨伏亚S.72发生了数次空中特情，导致可用于远程轰炸的飞机仅剩下马丁139WC。 ### 国民政府此时本想让外籍飞行员组成的原第2大队第14中队（此时称“国际第14队”）承担轰炸任务，但外籍飞行员借口任务危险，对该次任务索價10万美元，因而航空委员会决定改由中方飞行员执行该次任务。 蒋中正专机飞行员徐煥昇主动请缨要求负责组建远征队获得同意，并被授予14队队长职务。 徐煥昇通过假空袭警报将14队所属的马丁139WC从汉口王家墩机场调往成都凤凰山机场，此后获取了这批飞机的控制权，并开始着手制定轰炸计划。 考虑到飞机数量有限，轰炸战果难以保证，轰炸任务被改为向日本抛撒传单以宣传中国抗战意志，同时鼓舞因徐州会战战败而低迷的中国抗战斗志:133-134。 ### 时任航空委员会秘书长宋美龄称此次行动为“人道远征”。 中华民国空军于1938年3月重新制定《空军对敌国内地袭击计划》，计划以宁波、衢州为出发地，轰炸目标为日本佐世保军港和八幡市，陆上航线途径汉口、南昌、衢州、宁波。 为保证此次飞行，航空委员会密令宁波、衢州两地修复因日军轰炸毁坏的机场，同时加强地面导航站，向航路沿线的汉口、南昌、衢州、宁波及备用的长沙、丽水、温州派出通信员，并要求各地长波电台为无线电定向做好准备。 为实施保密通信，吴积冲、陈光斗编制了电文密码。,在《人道远征》行动中，国民政府空军为何决定改由中方飞行员执行任务，而不是外籍飞行员？,1938年《空军对敌国内地袭击计划》的实施过程中，航空委员会采取了哪些具体措施来保障飞行安全与任务成功？
德拉馬尼,CS1德语来源 (de),"德拉馬尼 （INN：delamanid）以Deltyba品牌在市面販售，是一種用於治療結核病的藥物。 基本上是它被用於與其他結核病管理（英语：Tuberculosis management）藥物聯合進行治療活動性多重抗藥性結核病（英语：multidrug-resistant tuberculosis）之用。 此藥物經口服方式給藥。 使用後常見的副作用有頭痛、頭暈和噁心。 ### 其他副作用有藥物引發QT間期延長（英语：Drug-induced QT prolongation）。 德拉馬尼的作用是阻斷分枝菌酸（英语：mycolic acid）產生，進而破壞細菌細胞壁的穩定性。 此藥物屬於5-硝基咪唑類藥物。 德拉馬尼於2014年在歐洲、日本和韓國被批准用於醫療用途。 ### 它已被列入世界衛生組織基本藥物標準清單之中。 截至2016年，位於瑞士大薩科內的非營利組織Stop TB Partnership（英语：Stop TB Partnership）已與日本大塚製藥達成協議，在100多個國家以每六個月完整療程的劑量，支付1,700美元的價格即可取得該藥物。 德拉馬尼與其他抗結核藥物聯合使用，用來治療活動性多重抗藥性結核病。 常見的副作用有頭痛、頭暈和噁心。 ### 其他副作用有藥物引發的QT間期延長。 個體於懷孕期間使用對胎兒的影響尚未有廣泛研究，但已有屬於安全的報告，目前在南非被推薦作為治療具有利福平抗藥性結核病孕婦的標準方案中的一種。 德拉馬尼有少量會被由肝臟酵素CYP3A4代謝，因此會強烈強誘導這種酵素分泌的藥物將會降低其有效性。 德拉馬尼在分枝桿菌屬中被脫氮黃素依賴性硝基還原酶 (Deazaflavin-dependent nitroreductase，Ddn) 激活，Ddn會利用還原形式的二氫F420將德拉馬尼轉化為一氧化氮和另一種高活性代謝物，產生的代謝物會攻擊合成酶DprE2。 ### DprE2對於結核菌細胞壁阿拉伯半乳聚醣（英语：arabinogalactan）的合成很重要，分支菌酸無阿拉伯半乳聚糖可依附以形成細胞壁，導致分枝桿菌無法正常生長。 德拉尼的殺菌機制與抗生素藥物普瑞莫尼（英语：pretomanid）類似。 對德拉尼產生抗藥性之臨床分離株，通常是其合成輔酶二氫F420的生化途徑中發生突變的結果。 在此藥物的II期臨床試驗中，將藥物與標準治療藥物合併使用，例如乙胺丁醇、異煙肼、吡嗪醯胺、利福平、氨基糖苷類抗生素和喹諾酮類藥物其中的四、五種。",德拉馬尼的殺菌機制是如何影響結核分枝桿菌細胞壁的穩定性的？請詳細說明其與分枝菌酸和阿拉伯半乳聚醣的關係。,
密西西比縣 (密蘇里州),含有英語的條目,"密西西比县（英語：Mississippi County）是美國密蘇里州東南的一個縣，東隔密西西比河與肯塔基州相望。 面積1,111平方公里。 根據美國2000年人口普查，共有人口13,427人。 縣治查爾斯頓 (Charleston)。 ### 成立於1845年2月14日。 本縣來自密西西比河。",密西西比县的面积是多少平方公里？该县与哪个州隔河相望？,密西西比县的成立日期是什么时候？该县的名称来源于什么？
FoxPro,1984年软件,FoxPro是一种面向过程的编程语言和数据库管理系统，也是一种面向对象的编程语言，适用于MS-DOS 、Windows、Macintosh和UNIX。 最初由Fox Software發佈，FoxPro在1992年被微软整体收购后，由Microsoft負責發佈和支持工作。 FoxPro的最终发布版本是2.6。 FoxPro源于FoxBase（Fox Software，Perrysburg，Ohio），而FoxBase又源于dBase III（Ashton-Tate）和dBase II。 ### dBase II是Wayne Ratliff编写的第一个商业版本的数据库程序，名为Vulcan，与dBase II一样运行于CP/M。,FoxPro的最初发布者和最终发布版本分别是什么？它的起源可以追溯到哪两个数据库管理系统？,
花椰菜革命,2016年抗议,花椰菜革命（立陶宛語：Kalafiorų revoliucija）是在2016年由立陶宛西南部維爾卡維什基斯居民發起的自發性抗議行動，旨在抗議立陶宛加入歐元區後物價高漲的情形。 事件的開端是有一位居民在維爾卡維什基斯的Maxima超市（英语：Maxima supermarket）買了一顆3.49歐元的花椰菜，之後將照片放在Facebook上。 2015年時立陶宛已使用歐元，而大家已針對使用歐元後快速上漲的物價以及增長緩慢的薪資有許多的討論，因此有上萬人分享這張照片，成為網絡爆紅圖片。 5月10日到12日間舉行了三天的自發性抵制活動，對象是立陶宛的四家連鎖超市（佔立陶宛食物供應量的80%），分別是Maxima（英语：Maxima Group）、Iki（英语：Palink）、Rimi（英语：Rimi Baltic）和Norfa。 ### 立陶宛的首相阿尔吉尔达斯·布特凯维丘斯針對此議題回應，認為不該為此責怪歐元區：「大部份貨物都是從歐元區進口，因此價格波動應該是因為歐元以外的原因，例如市場挑戰、收成不佳等因素。 」瑞典銀行的首席經濟學家內瑞斯·馬丘利斯（Nerijus Maciulis）認為花椰菜的漲價是因為季節性的抬價所造成。,花椰菜革命的起因和過程是如何反映立陶宛加入歐元區後的社會經濟問題的？,針對立陶宛花椰菜革命，首相阿尔吉尔达斯·布特凯维丘斯和瑞典銀行首席經濟學家內瑞斯·馬丘利斯對物價上漲的解釋有何不同？
德国联邦铁路E50型电力机车,15千伏16.7赫兹交流电力机车,德国联邦铁路E50型电力机车（德語：DB-Baureihe E 50）是德国联邦铁路根据标准化电力机车计划而自1957年起生产的一款电力机车，并自1968年起改称为150型，主要用作重载货物运输。 该型号机车最终于2003年完全从德国铁路退役，其最后的运用是配属于科尔恩韦斯泰姆车辆段。 1950年，德国联邦铁路的专职委员会决定采购两款大面积使用标准化部件的基本型电力机车。 其一是基于E94型电力机车（德语：DR-Baureihe E 94）开发的六轴货运机车，其二是基于E44型电力机车（德语：DR-Baureihe E 44）开发的四轴通用机车（德语：Universallokomotive）。 ### 它们都应设立驾驶台（德语：Führerstand），以使火车司机可以坐着工作。 而在此前的电力机车型号（E18型（德语：DR-Baureihe E 18）及E19型（德语：DR-Baureihe E 19）除外）中，司机都必须站立驾驶，因为这被假定为可提高他们的注意力。 首个通用机车的出厂型号在最初被设定为E46型，但在通过提升最高速度以满足快速列车的运营需求后，它又被改称为E10型。 1952年，德国主要的机车制造商和电气工程企业首先联合生产了4台试验性样机，系列代号为E10.0型，它们不仅能满足联邦铁路中央局（德语：Bundesbahn-Zentralamt）的要求，并且在传动技术（德语：Antriebstechnik）、电气设备、走行结构（德语：Fahrwerk）和其它细节上都实现了各公司的特定理念。 ### 然而在其后得测试程序中表明，仅有两种类型的新机车并不足以满足所有的性能要求。 因此系列车型又立即进行了重新修改，它们被分为用于快速列车服务的E10型、用于货运列车的E40型（两者均由西门子-舒克尔特（德语：Siemens-Schuckertwerke）/克劳斯-玛菲研发）、用于轻载短途客运的E41型（由BBC/亨舍尔研发）和用于重载货运的六轴机车E50型（由AEG/克虏伯研发）。 自1957年起生产的E50型机车（自1968年起改称150型）是首款用于重载货运列车的标准化电力机车。 至1973年，共有194台同型号机车交付使用，它们最初主要担当同样用于重载货运、在第二次世界大战前生产的E94型电力机车的运营任务，并在随后完全取代了E94型。 ### 而150型机车在后来也被151型机车所取代，因为当德国联邦铁路自1969年实施了新的运营操作规范后，它们的性能已不足以应付繁重的货运服务。 此外，150型机车的运营服务也始终遭到诟病，因其牵引力会在运行速度达到80公里/小时以上后大幅下降。 用作80公里/小时以上的运行时，巨大的牵引力往往会引致牵引电动机烧毁。 而当采用三相交流电传动（德语：Drehstromantrieb (Eisenbahn)）的现代化机车152型面世后，则进一步加剧了150型机车的退役。 ### 最后使用150型机车的车辆段是科尔恩韦斯泰姆，机车在当地除了牵引重载货运列车外，还被用作盖斯林根山地（德语：Geislinger Steige）和施佩萨尔特斜坡（德语：Spessartrampe）的补机服务。 至2003年底，150型机车的服务已完全从德国铁路中退役。 与所有其它标准化电力机车一样，E41型机车带有枢轴的转向架及带有风扇格栅的车体均采用箱型结构焊接。 底盘是基于转向架上的螺旋弹簧和橡胶元件实现支撑。,德国联邦铁路E50型电力机车在设计上有哪些特定理念和技术是各公司共同实现的，它们分别在哪些方面体现？,为什么150型机车在运行速度超过80公里/小时后会导致牵引电动机烧毁，且在德国联邦铁路实施新操作规范后，其性能为何无法满足货运服务的需求？
